customer_id,age,gender,tenure_months,contract_type,monthly_charges,total_charges,internet_service,phone_service,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,payment_method,monthly_usage_gb,customer_service_calls,churn
1,42,Female,24,Month-to-month,74.35,1788.45,Fiber optic,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Electronic check,215.3,1,No
2,28,Male,6,Month-to-month,60.15,371.85,Fiber optic,Yes,No,No,No,No,No,No,No,Yes,Electronic check,134.7,0,Yes
3,57,Male,36,One year,82.55,2927.85,Fiber optic,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Credit card (automatic),187.2,0,No
4,35,Female,12,Month-to-month,55.25,671.75,DSL,Yes,No,Yes,No,No,No,No,No,No,Bank transfer (automatic),98.4,1,No
5,61,Female,58,Two year,92.85,5293.3,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),243.6,0,No
6,22,Male,1,Month-to-month,53.45,53.45,DSL,Yes,No,No,No,No,No,No,Yes,No,Mailed check,75.8,2,Yes
7,39,Female,3,Month-to-month,68.95,212.35,Fiber optic,Yes,No,No,No,No,No,No,No,Yes,Electronic check,165.2,3,Yes
8,45,Male,15,Month-to-month,75.65,1150.55,Fiber optic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Electronic check,227.9,1,No
9,63,Female,48,Two year,105.35,5060.1,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),267.3,1,No
10,33,Male,9,Month-to-month,59.85,546.1,DSL,Yes,Yes,No,No,No,No,No,No,Yes,Electronic check,87.6,4,Yes
11,48,Female,67,Two year,99.95,6718.95,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Bank transfer (automatic),231.5,0,No
12,25,Male,2,Month-to-month,59.25,119.5,Fiber optic,No,No service,No,No,No,No,No,No,Yes,Electronic check,128.7,2,Yes
13,52,Male,27,One year,85.45,2270.85,Fiber optic,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Credit card (automatic),198.4,1,No
14,38,Female,5,Month-to-month,59.75,288.8,DSL,Yes,Yes,No,No,No,No,No,No,Yes,Electronic check,92.3,1,Yes
15,71,Female,72,Two year,112.35,8089.15,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),254.8,0,No
16,24,Male,1,Month-to-month,54.95,54.95,DSL,Yes,No,No,No,No,No,No,No,Yes,Electronic check,78.6,0,Yes
17,31,Female,12,Month-to-month,65.35,795.8,Fiber optic,No,No service,No,No,No,No,No,Yes,Yes,Electronic check,145.8,3,Yes
18,44,Male,56,Two year,90.35,5076.45,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Bank transfer (automatic),215.6,1,No
